time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2023-03-23 14:00:00,12.7,8.4,75,0,0,220,23,38,1002.1,4,8
2023-03-23 15:00:00,12.9,8.2,73,0,0,220,26,41,1001.7,25,8
2023-03-23 16:00:00,11.7,8.2,79,3.4,0,230,17,64,1002.2,23,8
2023-03-23 17:00:00,11,8.2,83,1.2,0,230,15,30,1002.8,19,8
2023-03-23 18:00:00,10.2,8,86,1.5,0,230,12,46,1002.9,7,8
2023-03-23 19:00:00,10.2,7.3,82,0,0,200,16,22,1003,0,8
2023-03-23 20:00:00,10.3,7.5,83,0,0,180,13,22,1003.4,0,4
2023-03-23 21:00:00,10.8,7.7,81,0,0,210,17,24,1003.4,0,4
2023-03-23 22:00:00,10.5,7.6,82,0,0,190,16,25,1003,0,4
2023-03-23 23:00:00,10.6,8.4,86,0,0,180,15,26,1002.6,0,4
2023-03-24 00:00:00,10,8.4,90,0,0,160,16,21,1001.7,0,4
2023-03-24 01:00:00,10.4,8.7,89,0,0,170,21,26,1000.8,0,7
2023-03-24 02:00:00,10.9,8.8,87,0.1,0,180,17,31,999.9,0,8
2023-03-24 03:00:00,10.3,9.2,93,1.3,0,170,21,30,998.9,0,8
2023-03-24 04:00:00,10.1,9.2,94,1,0,170,24,35,997.7,0,8
2023-03-24 05:00:00,10.5,9.4,93,1.2,0,170,18,31,996.4,0,8
2023-03-24 06:00:00,10.6,9.2,91,0.5,,189,24.1,38.9,996,,8
2023-03-24 07:00:00,10.9,9.3,90,0.8,,204,24.1,40.8,995.6,,7
2023-03-24 08:00:00,11,9.1,88,0.4,,220,25.9,40.8,996,,7
2023-03-24 09:00:00,11.3,8.3,82,1.2,,235,25.9,42.6,996.9,,7
2023-03-24 10:00:00,11.4,7.9,79,0,,248,25.9,44.5,997.9,,7
